Matricula;Secretaria;Codigo Lotação;Nome Lotação;Código Cargo;Verbas Fixas;Cargo Comissão / Função Gratificada;Produtividade;Hora Extra;Sucumbência;Eventual;Adic.Crg./ Local/Jorn.;Salário Atraso;Prêmio Férias;Licença Prêmio;13º Salário;Total Bruto;Deduções;Bruto c/ Deduções
957380;Administração;A0060;COORD. SET. DE PATRIMONIO               ;95080 - AG.ADMINISTRATIVO;R$ 9.369,17;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 9.369,17;R$ 0,00;R$ 9.369,17
958930;Administração;A0129;SETOR DE SUPRIMENTOS                    ;95070 - COND.VEICULOS MAQUINAS;R$ 12.049,84;R$ 2.665,02;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 4.756,90;R$ 0,00;R$ 7.135,35;R$ 26.607,11;R$ 0,00;R$ 26.607,11
959057;Administração;A0145;SETOR DE ARMAZENAGEM E ESTOCAGEM        ;95080 - AG.ADMINISTRATIVO;R$ 5.015,99;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 5.015,99;R$ 0,00;R$ 5.015,99
959162;Administração;A0100;SETOR DE CONTROLE DE TRANSPORTES        ;95070 - COND.VEICULOS MAQUINAS;R$ 6.432,60;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 6.432,60;R$ 0,00;R$ 6.432,60
960560;Administração;A0095;COORD. SET. DE OPERACOES                ;18011 - TORNEIRO MECANICO;R$ 3.501,36;R$ 1.398,79;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 362,40;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 5.262,55;R$ 0,00;R$ 5.262,55
962023;Administração;A0095;COORD. SET. DE OPERACOES                ;16011 - MECANICO DE VEICULOS;R$ 4.116,52;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 362,40;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 4.478,92;R$ 0,00;R$ 4.478,92
962481;Administração;A0135;DEPTO. CENTRAL DE COMPRAS               ;95080 - AG.ADMINISTRATIVO;R$ 9.467,60;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 9.467,60;R$ 0,00;R$ 9.467,60
964387;Administração;A0090;DEPTO. DE TRANSPORTES INTERNO           ;95070 - COND.VEICULOS MAQUINAS;R$ 5.734,17;R$ 46,32;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 5.780,49;R$ 0,00;R$ 5.780,49
966703;Administração;A0145;SETOR DE ARMAZENAGEM E ESTOCAGEM        ;95080 - AG.ADMINISTRATIVO;R$ 4.023,50;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 4.023,50;R$ 0,00;R$ 4.023,50
978760;Administração;A0025;DEPTO. ADMINISTRATIVO                   ;95060 - TELEFONISTA;R$ 3.256,37;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 488,95;R$ 0,00;R$ 1.466,84;R$ 5.212,16;R$ 0,00;R$ 5.212,16
998877;Administração;A0135;DEPTO. CENTRAL DE COMPRAS               ;95080 - AG.ADMINISTRATIVO;R$ 8.923,64;R$ 1.744,23;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 10.667,87;R$ 0,00;R$ 10.667,87
1020706;Administração;A0135;DEPTO. CENTRAL DE COMPRAS               ;95080 - AG.ADMINISTRATIVO;R$ 4.161,36;R$ 6.550,16;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 90,68;R$ 0,00;R$ 0,00;R$ 0,00;R$ 10.802,20;R$ 0,00;R$ 10.802,20
1025899;Administração;A0135;DEPTO. CENTRAL DE COMPRAS               ;97011 - PROFESSOR PEB I;R$ 6.145,53;R$ 4.017,33;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 10.162,86;R$ 0,00;R$ 10.162,86
1063995;Administração;A0001;GABINETE DO SECRETARIO                  ;95510 - PROCURADOR;R$ 9.190,31;R$ 0,00;R$ 4.280,82;R$ 0,00;R$ 4.051,31;R$ 0,00;R$ 0,00;R$ 237,68;R$ 0,00;R$ 0,00;R$ 0,00;R$ 17.760,12;R$ 12.573,05;R$ 5.187,07
1076000;Administração;A0135;DEPTO. CENTRAL DE COMPRAS               ;95020 - AG.APOIO ADMINISTRATIVO;R$ 6.163,09;R$ 4.166,25;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 10.329,34;R$ 0,00;R$ 10.329,34
1080440;Administração;A0135;DEPTO. CENTRAL DE COMPRAS               ;95080 - AG.ADMINISTRATIVO;R$ 7.456,63;R$ 2.209,50;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 9.666,13;R$ 0,00;R$ 9.666,13
1083155;Administração;A0001;GABINETE DO SECRETARIO                  ;95510 - PROCURADOR;R$ 9.750,74;R$ 5.087,34;R$ 4.280,82;R$ 0,00;R$ 4.051,31;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 23.170,21;R$ 0,00;R$ 23.170,21
1083538;Administração;A0025;DEPTO. ADMINISTRATIVO                   ;95510 - PROCURADOR;R$ 12.029,47;R$ 2.819,33;R$ 4.280,82;R$ 0,00;R$ 4.051,31;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 23.180,93;R$ 0,00;R$ 23.180,93
1084178;Administração;A0061;SETOR DE PATRIMONIO MOBILIARIO          ;95010 - AG. APOIO OPERACIONAL;R$ 1.822,14;R$ 3.538,16;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 5.360,30;R$ 0,00;R$ 5.360,30
